"""sitename"""	"""siteengname"""	SO2 Average 	Maximum	X	Y	Xtwd	Ytwd	Months 
??	Sanyi	1.92	4.7	120.7595675	24.38248443	225610.8072	2697404.393	4
??	Fengyuan	1.8	5.9	120.7425241	24.25699731	223856.2162	2683509.479	4
??	Shalu	1.32	4.9	120.568794	24.225628	206204.9642	2680078.798	4
??	Dali	1.86	6.8	120.6784444	24.09961111	217309.5348	2666092.325	4
??	Zhongming	1.97	5.7	120.641092	24.151958	213526.9718	2671898.973	4
??	Xitun	1.47	5.1	120.616917	24.162197	211073.3337	2673039.462	4
??	Changhua	1.53	4.8	120.541519	24.066	203376.8957	2662408.563	4
??	Xianxi	2.17	12	120.469061	24.131672	196036.0031	2669707.797	4
??	Erlin	2.49	8.7	120.409653	23.925175	189901.7565	2646862.1	4
??	Nantou	1.92	11.5	120.685306	23.913	217960.9325	2645423.87	4
??	Douliu	1.96	12.4	120.544994	23.711853	203604.1387	2623186.376	4
??	Lunbei	2.09	7.9	120.348742	23.757547	183615.4515	2628324.597	4
??	Xingang	2.13	6.5	120.345531	23.554839	183185.239	2605876.77	4
??	Puzi	2.09	4.7	120.2478	23.46538	173155.6228	2596018.432	4
??	Taixi	3	11.7	120.1993333	23.702175	168350.7048	2622269.861	4
??	Chiayi	2.45	14.8	120.4412515	23.46477865	192918.7784	2595861.802	4
??	Xinying	3.42	9.8	120.31725	23.305633	180167.1651	2578292.065	4
??	Shanhua			120.2974053	23.11337642	178034.4504	2557010.964	4
??	Annan	1.94	7.5	120.2175	23.048197	169810.9055	2549834.555	4
??	Tainan	2.04	9.4	120.22085	22.99123	170120.6725	2543524.177	4
??	Meinong	2.39	8.3	120.530542	22.883583	201833.2379	2531468.788	4
??	Qiaotou	2.2	9.4	120.305689	22.757506	178696.8572	2517598.62	4
??	Renwu	2.4	20.7	120.332631	22.689056	181429.6846	2510006.131	4
??	Fengshan	2.4	68.6	120.357422	22.628126	183947.8166	2503247.93	4
??	Daliao	2.36	6	120.425311	22.56413611	190899.162	2496133.724	4
??	Linyuan	2.16	5	120.41175	22.4795	189467.6618	2486767.36	4
??	Nanzi	2.25	5	120.328289	22.733667	181005.9027	2514948.11	4
??	Zuoying	2.12	5.7	120.292917	22.674861	177341.558	2508453.136	4
??	Qianjin	3.11	9.8	120.2867611	22.63390278	176687.2193	2503920.683	4
??	Qianzhen	2.81	29.7	120.3083336	22.6044507	178889.5598	22.6044507	4
??	Xiaogang	1.6	4	120.337736	22.565833	181893.5435	2496358.931	4
??	Pingtung	2.83	12.9	120.488033	22.673081	197391.0605	2508173.804	4
??	Chaozhou	2.58	9.87	120.561175	22.523108	204858.2576	2491543.305	4
??	Hengchun	2.31	7	120.788928	21.958069	228199.9944	2428929.591	4
??	Taitung	2.71	11.3	121.15045	22.755358	265450.6396	2517201.492	4
??	Hualien	3.2	18	121.599769	23.971306	311035.7319	2651975.171	4
??	Yangming	3.81	28.2	121.529583	25.182722	303377.2655	2786121.42	4
??	Yilan	2.52	12.3	121.746394	24.747917	325495.3942	2738062.753	4
??	Dongshan	2.84	18.7	121.792928	24.632203	330276.4487	2725272.259	4
??	Sanchong	2.57	48.4	121.493806	25.072611	299815.8397	2773911.122	4
??	Zhongli	3.34	14.7	121.221667	24.953278	272383.556	2760620.856	4
??	Zhushan	2.32	11.7	120.677306	23.756389	217106.971	2628081.672	4
??	Yonghe	0.96	4.2	121.516306	25.017	302109.2082	2767759.828	4
??	Fuxing	1.92	10.3	120.312017	22.608711	179270.4418	2501118.895	4
??	Puli	1.81	8.7	120.967903	23.968842	246733.614	2651572.87	4
??	Matsu	1.34	3.4	119.9314938	26.15188416	143168.4096	2893811.43	4
??	Kinmen	1.46	5.5	118.312256	24.432133	-22600.7287	2705527.895	4
??	Magong	1.03	2.1	119.566158	23.569031	103626.4632	2608028.345	4
??	Guanshan	1.14	1.7	121.161933	23.045083	266594.619	2549284.521	4
??	Mailiao	1.48	3.7	120.251825	23.753506	173733.7193	2627925.665	4
???	FugueiCape	2.81	15.6	121.5365689	25.29681695	173733.7193	2627925.665	4
??	Dacheng	1.79	6.8	120.2696417	23.85493056	175607.7527	2639149.039	4
??	Keelung	1.59	6.6	121.760056	25.129167	326641.0947	2780300.361	4
??	Xizhi	1.38	6.5	121.64081	25.06624	314649.5064	2773267.652	4
??	Wanli	1.66	7.3	121.689881	25.179667	319536.0581	2785856.183	4
??	Xindian	2.19	6	121.537778	24.977222	304293.8287	2763362.251	4
??	Tucheng	2.37	5.6	121.451861	24.982528	295617.6015	2763918.33	4
??	Banqiao	1.93	7.2	121.458667	25.012972	296293.3026	2767292.737	4
??	Xinzhuang	1.61	10.7	121.4325	25.037972	293643.389	2770053.158	4
??	Cailiao	2.34	6.5	121.481028	25.06895	298528.2	2773500.962	4
??	Linkou	2.52	8.6	121.3654898	25.07798949	286869.3782	2774465.731	4
??	Tamsui	2.02	7	121.449239	25.1645	295285.9191	2784073.597	4
??	Shilin	2.25	8.3	121.5166636	25.10334003	302108.7712	2777323.471	4
??	Zhongshan	1.89	5.4	121.526528	25.062361	303121.3595	2772788.228	4
??	Wanhua	2.71	8.02	121.507972	25.046503	301255.8092	2771024.55	4
